,barrierDamageDone,cards,criticalHits,criticalHitsAccuracy,damageDone,deaths,eliminations,environmentalKills,finalBlows,gamesPlayed,gamesWon,hero,heroDamageDone,medals,medalsBronze,medalsGold,medalsSilver,meleeFinalBlows,multikills,objectiveKills,objectiveTime,quickMeleeAccuracy,soloKills,timePlayed,timeSpentOnFire,weaponAccuracy,class
33,0,4,22,0.22,18770,65,88,0,38,0,6,mei,0,26,8,8,10,0,0,35,239,0,10,3600.0,37,0.31,defense
34,1591,14,110,0.05,116302,129,385,0,172,0,20,torbjorn,4240,69,18,27,24,0,7,122,172,0,80,10800.0,343,0.16,defense
35,0,0,1,0.0,5627,12,5,0,2,0,0,widowmaker,264,5,1,2,2,0,0,0,0,0,1,840.0,0,0.26,defense
36,7047,5,3149,0.08,113073,166,353,1,117,0,11,dVa,27906,64,16,23,25,1,2,123,1716,0,40,10800.0,390,0.22,tank
37,4030,1,0,0.0,17079,45,56,0,16,0,3,orisa,12918,16,3,8,5,2,0,24,168,0,2,2640.0,4,0.19,tank
38,0,4,0,0.0,20815,112,56,1,28,0,3,reinhardt,225,27,6,14,8,0,1,18,696,0,6,3600.0,0,0.0,tank
39,0,1,342,0.22,17539,38,55,1,28,0,2,roadhog,420,16,3,7,7,2,0,20,264,0,11,2100.0,363,0.23,tank
40,586,3,0,0.0,47654,182,185,4,78,0,7,winston,5501,35,9,13,13,0,2,63,972,0,25,7200.0,109,0.0,tank
41,42524,37,0,0.0,274710,518,1202,1,363,0,45,zarya,221416,195,49,85,61,8,15,524,4538,1,51,36000.0,1114,0.35,tank
42,120,6,0,0.0,24338,105,59,0,17,0,7,ana,123,27,5,15,8,0,0,23,453,0,2,3600.0,31,0.11,support
43,9625,128,1428,0.07,348743,1108,1498,27,333,0,115,lucio,45704,472,70,298,104,7,2,779,11718,1,45,79200.0,9856,0.23,support
44,240,105,84,0.09,18707,980,52,0,16,0,73,mercy,2072,208,46,135,28,1,0,11,4652,0,2,64800.0,3567,0.34,support
45,2076,5,0,0.0,44270,124,181,0,45,0,5,moira,42094,48,9,28,11,0,1,82,638,0,5,3600.0,75,0.0,support
46,755,37,0,0.0,165250,325,768,0,268,0,45,symmetra,12309,162,43,74,44,0,6,257,905,0,83,25200.0,424,0.0,support
47,1558,20,150,0.08,92977,215,334,0,158,0,18,zenyatta,4914,83,20,43,20,0,2,150,1293,0,36,10800.0,3073,0.23,support
48,1745,0,0,0.0,16718,51,38,0,16,0,1,doomfist,14705,1,1,0,0,0,1,13,230,0,6,2460.0,17,0.21,attack
49,1472,2,154,0.06,91956,175,267,0,124,0,10,genji,6625,48,21,11,16,2,1,93,650,0,38,7200.0,148,0.25,attack
50,2904,2,83,0.04,121633,332,360,0,203,0,19,mccree,34555,57,22,11,24,1,7,97,568,0,48,14400.0,206,0.34,attack
51,10753,2,0,0.0,76814,118,171,2,94,0,4,pharah,28951,28,11,10,7,0,3,61,264,0,25,7200.0,177,0.32,attack
52,4158,12,1895,0.09,136305,297,443,0,271,0,20,reaper,39595,115,36,30,49,0,11,132,955,0,117,14400.0,835,0.21,attack
53,0,28,799,0.05,312427,412,894,0,527,0,28,soldier76,0,190,45,90,55,1,5,333,1546,0,181,21600.0,3944,0.29,attack
54,7294,2,0,0.0,63088,164,206,0,74,0,7,sombra,34951,36,15,8,13,0,1,57,708,0,24,7200.0,292,0.28,attack
55,14324,4,880,0.05,91351,226,300,0,115,0,7,tracer,71568,55,19,18,17,0,1,108,664,0,46,10800.0,232,0.23,attack
56,8745,9,573,0.04,201373,241,342,0,203,0,14,bastion,12847,84,33,23,28,0,3,114,403,0,67,10800.0,582,0.2,defense
57,19713,5,68,0.04,153979,264,350,0,227,0,18,hanzo,81908,60,26,15,20,0,3,114,575,0,58,14400.0,313,0.2,defense
58,58851,6,0,0.0,306508,474,746,2,456,0,24,junkrat,189732,127,45,48,34,0,3,251,1395,0,167,28800.0,1213,0.14,defense
59,14393,111,1003,0.17,854010,1702,3507,0,1469,0,137,mei,109863,798,279,239,280,1,20,1210,10395,0,422,111600.0,9511,0.3,defense
60,850,31,82,0.03,233304,245,786,0,342,0,34,torbjorn,16085,120,39,48,32,0,6,209,313,0,131,21600.0,1099,0.26,defense
61,1259,0,30,0.08,16354,43,59,0,24,0,4,widowmaker,7621,7,3,1,2,0,0,17,41,0,10,3600.0,0,0.21,defense
62,50689,48,11792,0.07,501411,624,1748,5,707,0,53,dVa,142115,313,67,148,98,13,21,561,5528,0,260,50400.0,2765,0.2,tank
63,8165,6,0,0.0,58880,77,140,0,55,0,9,orisa,30453,40,13,14,13,1,3,59,1728,0,10,3600.0,77,0.28,tank
64,17787,34,0,0.0,297415,660,870,2,522,0,43,reinhardt,124054,183,58,63,62,0,5,277,4247,0,103,39600.0,1641,0.0,tank
65,8524,13,4348,0.14,316614,513,877,16,509,0,33,roadhog,38348,227,88,46,93,5,2,295,2432,0,143,28800.0,2453,0.27,tank
66,13610,19,0,0.0,168506,392,662,9,251,0,26,winston,111813,143,49,42,53,1,5,244,2080,1,54,21600.0,475,0.0,tank
67,12699,8,0,0.0,143194,251,502,0,154,0,23,zarya,31956,101,35,22,44,2,4,192,1668,0,30,18000.0,322,0.35,tank
68,120,2,0,0.0,35004,102,104,0,53,0,8,ana,1935,34,8,11,14,5,0,23,444,0,12,7200.0,48,0.14,support
69,80,59,763,0.07,218582,669,870,43,250,0,57,lucio,933,234,51,127,55,7,2,374,5417,0,53,43200.0,1533,0.2,support
70,2716,47,521,0.11,97709,650,432,0,150,0,35,mercy,11801,145,31,75,39,9,0,129,1932,0,32,39600.0,402,0.26,support
71,1336,11,0,0.0,45291,144,188,0,76,0,10,symmetra,22375,37,17,8,12,0,0,63,353,0,27,7200.0,189,0.0,support
72,94898,109,997,0.07,658302,1152,2111,0,952,0,104,zenyatta,359415,479,153,167,159,0,4,699,4774,0,235,75600.0,8862,0.22,support
73,210,0,0,0.0,2749,16,7,1,5,0,0,doomfist,2434,4,2,0,1,0,0,3,67,0,3,660.0,0,0.11,attack
74,4918,10,232,0.07,154203,394,469,0,231,0,23,genji,10336,87,40,20,27,6,3,163,1589,0,82,18000.0,160,0.23,attack
75,610,1,30,0.04,50631,90,115,0,73,0,6,mccree,2999,18,7,6,5,0,0,40,281,0,23,3600.0,171,0.39,attack
76,22734,7,0,0.0,257731,458,501,13,306,0,24,pharah,41756,118,41,36,41,2,1,164,1284,0,106,25200.0,355,0.34,attack
77,13753,15,3774,0.08,315606,699,978,1,499,0,38,reaper,55853,234,75,67,92,4,12,340,3165,0,158,39600.0,1593,0.16,attack
78,25577,27,1089,0.04,494682,767,1393,1,699,0,54,soldier76,99657,344,114,112,118,8,10,529,3607,0,193,43200.0,3364,0.25,attack
79,818,0,0,0.0,6151,22,8,0,3,0,0,sombra,2575,7,2,4,2,0,0,4,66,0,0,1020.0,0,0.27,attack
80,0,0,322,0.07,22276,91,87,0,27,0,5,tracer,2224,21,12,3,5,0,0,37,413,0,11,3600.0,95,0.2,attack
81,3727,2,75,0.02,45062,55,73,0,41,0,3,bastion,1146,24,12,7,5,0,0,25,29,0,9,3000.0,0,0.2,defense
82,0,0,19,0.07,26402,50,65,0,40,0,2,hanzo,2211,16,4,5,7,0,0,25,235,0,18,3540.0,55,0.21,defense
83,54467,23,0,0.0,804589,1045,1812,5,1181,0,75,junkrat,156272,354,114,120,121,9,10,685,3677,1,444,68400.0,4465,0.16,defense
84,0,10,75,0.17,57717,119,240,0,110,0,12,mei,0,61,18,24,19,0,2,81,733,0,37,7200.0,935,0.31,defense
85,18835,118,476,0.04,1018505,870,2902,0,1220,0,120,torbjorn,95377,531,117,240,174,3,19,1099,2325,1,405,79200.0,5409,0.23,defense
86,108,0,94,0.08,44477,81,106,0,56,0,3,widowmaker,424,28,10,7,11,1,1,39,145,0,25,3600.0,228,0.26,defense
87,98657,166,46384,0.08,1984313,2124,6143,31,2595,0,215,dVa,278319,1241,287,580,374,73,63,2341,26943,0,730,172800.0,13471,0.2,tank
88,10993,1,0,0.0,51174,112,145,0,47,0,7,orisa,33170,25,7,6,12,0,0,55,515,0,7,3600.0,144,0.2,tank
89,2425,44,0,0.0,283428,713,770,6,468,0,56,reinhardt,19685,195,64,65,66,0,4,238,7405,0,127,43200.0,2498,0.0,tank
90,9133,14,2541,0.13,215946,354,592,2,322,0,25,roadhog,22057,159,49,48,62,3,2,211,2027,0,85,21600.0,1362,0.25,tank
91,2073,1,0,0.0,84599,249,290,7,125,0,10,winston,24388,68,19,23,26,1,2,120,1472,0,37,10800.0,467,0.0,tank
92,9735,21,0,0.0,425855,780,1486,1,442,0,59,zarya,62763,304,94,106,105,15,12,646,6427,0,86,54000.0,1181,0.26,tank
93,257,1,0,0.0,3613,21,8,0,3,0,0,ana,380,4,1,3,0,0,0,1,28,0,1,1260.0,0,0.06,support
94,10685,39,482,0.06,146953,440,565,16,130,0,42,lucio,38656,177,30,94,53,6,0,262,4283,0,27,28800.0,2734,0.19,support
95,20,15,58,0.12,9702,234,32,0,9,0,8,mercy,1292,49,13,29,7,0,0,9,731,0,2,14400.0,163,0.26,support
96,76,0,0,0.0,1011,3,4,0,1,0,1,moira,896,1,1,0,1,0,0,1,14,0,0,180.0,0,0.0,support
97,8690,32,0,0.0,202298,364,815,0,320,0,37,symmetra,66629,163,55,40,67,0,5,256,889,0,92,25200.0,662,0.0,support
98,9339,20,240,0.08,151457,282,394,0,183,0,22,zenyatta,11457,120,42,42,37,2,0,139,922,0,47,18000.0,1433,0.19,support
99,461,0,0,0.0,7601,21,20,0,13,0,1,doomfist,6917,6,2,2,3,0,0,7,106,0,4,1080.0,0,0.12,attack
100,1535,1,14,0.05,11776,27,38,0,14,0,2,genji,10118,8,2,3,2,0,1,25,272,0,8,1620.0,73,0.19,attack
101,856,1,0,0.0,1650,0,5,0,2,0,1,mccree,794,4,2,2,0,0,0,3,41,0,1,120.0,29,0.25,attack
102,15231,4,0,0.0,94640,198,208,4,116,0,10,pharah,33462,59,21,20,19,0,2,109,1041,0,46,10800.0,236,0.36,attack
103,1887,1,147,0.07,13417,32,41,0,23,0,1,reaper,11432,15,4,8,3,0,0,12,67,0,11,1740.0,7,0.17,attack
104,6164,1,39,0.05,19287,20,44,0,18,0,2,soldier76,12435,15,4,4,7,0,0,12,182,0,2,1680.0,18,0.19,attack
105,0,0,0,0.0,48,1,0,0,0,0,0,sombra,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0.07,attack
106,3609,1,116,0.05,15189,23,42,0,21,0,3,tracer,11447,11,4,4,3,2,0,19,170,0,4,1500.0,0,0.27,attack
107,120,1,28,0.03,12936,26,29,0,9,0,1,bastion,4754,13,3,4,7,0,0,9,156,0,0,1440.0,0,0.14,defense
108,79508,21,0,0.0,356897,426,773,3,495,0,34,junkrat,223605,168,38,75,55,0,9,374,2469,0,195,25200.0,2637,0.19,defense
109,154,1,2,0.16,7425,24,37,0,7,0,2,mei,2460,14,5,4,5,0,0,14,174,0,1,1680.0,43,0.17,defense
110,4861,6,1,0.03,39306,36,122,0,47,0,5,torbjorn,33551,21,5,12,4,0,2,50,98,0,18,3480.0,481,0.19,defense
111,0,0,0,0.0,0,0,0,0,0,0,0,widowmaker,0,0,0,0,0,0,0,0,0,0,0,3.917258858680725,0,0.0,defense
112,505,1,115,0.08,3942,7,9,0,3,0,0,dVa,1988,4,1,1,1,0,0,4,36,0,1,480.0,0,0.19,tank
113,40775,26,0,0.0,145637,223,275,2,96,0,21,orisa,62047,89,27,35,26,0,1,142,1748,0,17,14400.0,443,0.24,tank
114,8286,20,0,0.0,53068,156,133,1,79,0,13,reinhardt,41356,51,12,25,14,0,0,66,2893,0,19,7200.0,208,0.0,tank
115,5676,5,251,0.07,24046,30,86,0,33,0,7,roadhog,16831,29,6,15,9,2,0,41,497,0,5,3060.0,76,0.17,tank
116,6,1,0,0.0,1295,7,8,0,2,0,1,winston,796,4,1,1,1,0,0,5,44,0,0,300.0,0,0.0,tank
117,23498,5,0,0.0,67750,111,166,0,48,0,9,zarya,39149,39,9,13,17,1,0,100,1090,0,6,7200.0,166,0.38,tank
118,1521,2,0,0.0,5327,27,18,0,4,0,3,ana,3738,12,2,7,3,0,0,8,121,0,1,1980.0,0,0.05,support
119,14280,29,162,0.04,85117,241,320,14,79,0,23,lucio,49165,113,19,74,20,2,0,195,3305,1,18,18000.0,615,0.17,support
120,0,30,2,0.14,405,254,1,0,0,0,17,mercy,205,65,9,42,13,0,0,0,1677,0,0,14400.0,501,0.08,support
121,2828,2,0,0.0,22126,42,76,0,14,0,2,moira,19253,18,1,10,7,0,0,34,317,0,3,3360.0,67,0.0,support
122,60,6,0,0.0,21984,35,116,0,48,0,6,symmetra,7811,22,6,11,5,0,2,75,341,0,13,3360.0,197,0.0,support
123,11017,19,89,0.06,72885,237,236,0,84,0,22,zenyatta,46628,83,18,47,18,6,0,115,1083,0,19,14400.0,291,0.23,support
124,0,5,44,0.05,35857,95,90,0,57,0,2,genji,0,22,10,4,8,0,0,34,313,0,25,3600.0,94,0.24,attack
125,0,0,17,0.03,24267,84,52,0,31,0,2,mccree,0,16,3,5,8,0,0,21,297,0,11,3600.0,20,0.24,attack
126,4654,6,0,0.0,339403,530,625,18,350,0,20,pharah,9845,138,44,44,50,0,9,288,2100,0,127,25200.0,1012,0.4,attack
127,0,0,284,0.08,25085,34,68,0,38,0,1,reaper,0,12,4,4,4,0,2,27,192,0,7,2340.0,265,0.19,attack
128,3289,5,195,0.03,125938,147,212,0,109,0,7,soldier76,1176,63,18,23,22,1,4,107,875,0,27,7200.0,838,0.32,attack
129,0,0,0,0.0,19148,36,33,0,8,0,2,sombra,246,13,8,0,4,0,0,12,121,0,4,2340.0,20,0.25,attack
130,190,26,6484,0.07,492704,947,1439,0,662,0,63,tracer,4524,285,96,98,92,10,13,656,5815,0,247,50400.0,1832,0.24,attack
131,0,1,68,0.08,13796,13,32,0,18,0,2,bastion,0,5,1,3,1,0,0,17,22,0,7,960.0,18,0.15,defense
132,0,0,13,0.07,18979,46,52,0,39,0,1,hanzo,0,14,8,2,5,0,0,16,143,0,13,2820.0,37,0.12,defense
133,0,8,0,0.0,207797,259,331,2,228,0,11,junkrat,0,79,24,26,29,0,2,127,325,0,76,14400.0,975,0.19,defense
134,0,18,245,0.15,184993,338,595,0,256,0,25,mei,384,150,57,41,52,8,6,223,1149,0,109,21600.0,881,0.29,defense
135,0,5,68,0.05,56804,41,114,0,63,0,4,torbjorn,0,25,7,13,5,1,1,34,73,0,26,3540.0,526,0.29,defense
136,0,0,30,0.08,21847,47,56,0,34,0,3,widowmaker,0,16,7,3,7,0,1,9,10,0,16,3240.0,39,0.21,defense
137,13326,30,11636,0.09,462606,557,1221,5,496,0,44,dVa,45842,275,66,124,85,5,15,480,5547,0,161,36000.0,2754,0.22,tank
138,4029,6,0,0.0,57793,72,139,0,45,0,5,orisa,4504,25,6,8,11,0,1,56,284,0,3,3600.0,147,0.28,tank
139,0,12,0,0.0,94282,166,177,1,102,0,7,reinhardt,527,48,17,21,10,0,4,58,1604,0,30,7200.0,419,0.0,tank
140,0,2,171,0.09,24522,32,36,0,16,0,3,roadhog,0,17,3,9,5,0,0,14,295,0,6,1980.0,0,0.25,tank
141,117,4,0,0.0,53144,163,176,2,72,0,11,winston,1511,51,13,19,19,1,3,71,732,0,22,7200.0,149,0.0,tank
142,2892,41,0,0.0,435341,642,1100,0,388,0,47,zarya,2839,262,77,88,97,5,13,462,4047,0,86,43200.0,2016,0.37,tank
143,0,2,0,0.0,14808,53,29,0,8,0,2,ana,0,16,4,6,5,0,0,13,116,0,2,2940.0,0,0.15,support
144,220,12,177,0.06,55484,176,169,5,53,0,9,lucio,1093,65,14,28,23,5,0,83,1295,0,13,7200.0,631,0.22,support
145,1520,35,288,0.13,46235,366,165,0,50,0,30,mercy,9069,96,17,63,16,0,0,48,1597,0,12,25200.0,2192,0.24,support
146,1743,6,0,0.0,56954,97,181,0,84,0,10,symmetra,10584,24,8,10,6,0,0,69,501,0,26,3600.0,366,0.0,support
147,3609,2,90,0.09,46036,87,125,0,53,0,8,zenyatta,10072,36,12,12,12,0,0,47,301,0,12,3600.0,140,0.2,support
148,146,0,0,0.0,2211,10,8,0,5,0,0,doomfist,2064,0,0,0,0,0,0,1,36,0,0,600.0,0,0.21,attack
149,2958,1,28,0.08,17869,41,51,0,23,0,2,genji,7874,7,4,1,2,1,0,24,134,0,11,2280.0,115,0.17,attack
150,16027,5,182,0.07,164156,302,523,0,302,0,21,mccree,133265,101,41,25,35,1,4,156,801,0,114,18000.0,499,0.38,attack
151,9432,2,0,0.0,65216,84,129,1,68,0,6,pharah,28901,27,9,8,9,0,0,34,242,0,29,3600.0,278,0.37,attack
152,18633,5,1134,0.07,107515,123,335,0,199,0,17,reaper,74914,69,23,16,30,1,8,130,623,0,78,7200.0,1066,0.22,attack
153,30711,19,586,0.06,210113,194,538,0,302,0,20,soldier76,99418,132,23,63,46,2,3,183,1023,0,127,14400.0,1679,0.35,attack
154,9008,25,0,0.0,293513,474,1046,0,574,0,47,sombra,86317,283,88,88,107,8,2,312,2166,0,246,36000.0,878,0.32,attack
155,6916,7,2756,0.08,186339,317,564,0,282,0,20,tracer,53125,131,28,48,55,0,4,181,1474,0,99,18000.0,829,0.33,attack
156,2296,3,62,0.04,24169,29,56,0,38,0,2,bastion,6063,17,5,8,3,0,1,15,42,0,23,2100.0,172,0.23,defense
157,10420,3,41,0.06,68382,124,183,0,115,0,11,hanzo,57294,38,19,9,10,3,1,58,477,0,40,7200.0,171,0.18,defense
158,8086,2,0,0.0,42633,64,116,0,69,0,5,junkrat,23603,22,9,5,8,0,2,29,122,0,30,3600.0,19,0.15,defense
159,283,6,80,0.21,50564,122,205,0,94,0,8,mei,2146,54,19,18,17,0,1,61,515,0,38,7200.0,305,0.33,defense
160,1460,1,35,0.12,13953,18,38,0,13,0,2,torbjorn,12367,4,2,1,1,0,0,8,17,0,4,1560.0,18,0.23,defense
161,324,0,22,0.11,6459,17,19,0,13,0,0,widowmaker,4066,2,1,1,0,0,0,3,10,0,8,1200.0,0,0.26,defense
162,26304,75,21940,0.1,677519,540,2183,4,1016,0,77,dVa,126819,414,75,224,115,4,19,748,6367,0,378,54000.0,5926,0.25,tank
163,16888,8,0,0.0,77898,121,197,0,56,0,8,orisa,42711,42,14,14,14,0,0,89,642,0,9,7200.0,289,0.26,tank
164,7204,20,0,0.0,99407,237,240,0,134,0,19,reinhardt,39274,60,22,20,17,0,3,72,2152,0,40,14400.0,217,0.0,tank
165,13818,13,2739,0.16,160721,205,464,3,267,0,16,roadhog,49067,123,27,40,56,3,1,168,1503,0,97,14400.0,951,0.25,tank
166,26546,37,0,0.0,346893,564,1307,10,588,0,48,winston,284264,247,55,99,92,9,2,403,4788,0,152,39600.0,1380,0.0,tank
167,2204,8,0,0.0,72039,118,236,0,94,0,9,zarya,14873,54,18,19,18,0,5,88,611,0,30,7200.0,416,0.32,tank
168,7180,5,0,0.0,66725,227,229,0,74,0,16,ana,24850,60,13,28,19,4,0,80,820,0,16,14400.0,65,0.13,support
169,3806,19,388,0.07,101458,243,350,3,91,0,16,lucio,26789,110,24,54,32,8,0,135,1694,0,23,14400.0,411,0.27,support
170,1900,57,217,0.1,45635,427,134,0,41,0,34,mercy,7956,108,19,77,12,1,1,26,1797,0,13,32400.0,557,0.3,support
171,40637,93,0,0.0,804746,1085,3141,0,1169,0,96,moira,755026,732,131,360,240,1,23,1164,7602,0,256,79200.0,7142,0.0,support
172,400,2,0,0.0,20658,37,74,0,33,0,3,symmetra,2119,13,5,0,8,0,1,22,87,0,6,2820.0,53,0.0,support
173,4746,31,277,0.09,150130,239,418,0,211,0,25,zenyatta,34726,152,36,58,58,0,1,136,1297,0,68,14400.0,1808,0.29,support
174,360,0,0,0.0,5104,18,11,0,7,0,1,pharah,4604,4,2,1,1,0,0,1,44,0,4,720.0,0,0.33,attack
175,480,0,0,0.0,6660,36,14,0,2,0,2,sombra,2979,10,6,2,3,0,0,3,66,0,0,2100.0,0,0.14,attack
176,712,1,22,0.04,2207,12,8,0,3,0,0,tracer,1397,1,0,1,0,0,0,3,178,0,0,840.0,0,0.12,attack
177,25534,2,0,0.0,83004,127,186,0,123,0,13,junkrat,56372,45,18,8,18,0,5,68,818,0,47,3600.0,574,0.19,defense
178,3631,1,3,0.03,15656,35,34,0,13,0,1,torbjorn,11822,12,1,7,4,0,0,13,101,0,7,1860.0,19,0.2,defense
179,40704,11,2520,0.06,130556,173,391,2,148,0,19,dVa,86504,79,23,35,21,0,8,206,3282,0,58,10800.0,800,0.19,tank
180,90120,46,0,0.0,249257,486,599,0,200,0,40,orisa,147405,146,41,65,39,0,5,357,4942,0,48,32400.0,815,0.22,tank
181,0,0,0,0.0,50,3,0,0,0,0,0,reinhardt,50,0,0,0,0,0,0,0,6,0,0,120.0,0,0.0,tank
182,3229,2,0,0.0,27771,63,97,1,18,0,5,winston,23107,20,3,9,8,0,0,46,785,0,2,3600.0,6,0.0,tank
183,365,2,0,0.0,3481,31,8,0,0,0,1,ana,3115,10,1,4,5,0,0,3,121,0,0,1740.0,8,0.05,support
184,80,80,8,0.1,1418,575,6,0,1,0,62,mercy,1228,191,31,114,45,0,0,2,4594,0,0,46800.0,289,0.19,support
185,7244,19,0,0.0,79925,178,379,0,166,0,22,symmetra,70669,74,23,34,16,0,3,138,668,0,57,10800.0,361,0.0,support
186,4578,1,21,0.06,17239,71,46,0,14,0,5,zenyatta,12614,23,8,5,10,0,0,20,349,0,5,3600.0,4,0.18,support
187,0,0,0,0.0,0,0,0,0,0,0,0,genji,0,0,0,0,0,0,0,0,0,0,0,3.918124556541443,0,0.0,attack
188,9099,0,28,0.04,41473,62,112,0,57,0,6,mccree,30241,25,10,4,12,1,1,27,293,0,14,3600.0,250,0.36,attack
189,45038,6,0,0.0,140471,131,264,4,152,0,13,pharah,90788,56,16,17,24,1,1,107,637,0,42,7200.0,339,0.41,attack
190,131180,39,1583,0.04,806449,1003,1874,0,932,0,72,soldier76,466859,523,148,190,185,6,14,793,5646,0,215,57600.0,5040,0.28,attack
191,19930,13,0,0.0,289159,647,902,0,310,0,45,sombra,105770,258,103,60,96,9,3,406,4105,0,59,43200.0,668,0.26,attack
192,27194,2,1310,0.05,131160,277,359,0,133,0,10,tracer,97744,86,27,32,27,7,1,158,1762,0,41,14400.0,103,0.25,attack
193,40,0,1,0.14,150,1,0,0,0,0,0,bastion,110,0,0,0,0,0,0,0,0,0,0,49.89298391342163,0,0.09,defense
194,2095,0,1,0.01,6909,6,18,0,10,0,2,hanzo,2697,3,1,0,2,0,0,10,65,0,1,780.0,3,0.17,defense
195,20446,1,0,0.0,98199,114,158,0,97,0,9,junkrat,32298,44,16,12,17,1,2,71,503,0,33,3600.0,491,0.16,defense
